Date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2018-2-22;0.0;0.0;0.0;0.0;0.0;0.0;0.3789;6.6852;12.33;19.7994;24.0075;22.1646;15.0096;12.8352;11.9367;3.6195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-23;0.0;0.0;0.0;0.0;0.0;0.0;0.8577;1.5468;2.1588;2.2998;3.0839999999999996;4.2882;4.1382;2.7438;2.55;1.5438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-24;0.0;0.0;0.0;0.0;0.0;0.0;0.45899999999999996;3.9105;5.3283;5.154;7.1004;12.6417;10.2777;16.5888;12.3957;5.8671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-25;0.0;0.0;0.0;0.0;0.0;0.0;0.9342;6.3756;8.2752;12.9843;9.1071;7.659;7.062;2.6802;1.6002;0.7326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-26;0.0;0.0;0.0;0.0;0.0;0.0;1.1457;7.8312;14.5293;18.5037;19.8204;12.3417;18.9654;18.2754;11.5614;4.9014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-27;0.0;0.0;0.0;0.0;0.0;0.0;2.1315;8.972999999999999;16.3161;22.2459;25.0137;25.8006;11.7006;16.1676;7.098;3.6618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-28;0.0;0.0;0.0;0.0;0.0;0.0;0.2901;4.8606;7.767;9.9333;9.4299;11.6631;11.7369;8.8575;4.3014;2.5872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43799999999999994;1.3092;2.3742;4.4712;3.0294;1.6422;1.2708;1.5132;0.915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-2;0.0;0.0;0.0;0.0;0.0;0.0;0.2973;0.9216;8.7636;11.1267;7.5249;3.6276;5.4852;2.5014;5.1048;3.4893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-3;0.0;0.0;0.0;0.0;0.0;0.0;0.4002;0.7722;1.5462;3.1218;2.3604;3.4536;2.2944;3.138;2.0994;0.6762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-4;0.0;0.0;0.0;0.0;0.0;0.0;0.2517;1.6422;2.5152;2.3568;2.004;2.2854;1.6992;2.4738;1.2852;1.9452;0.1452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-5;0.0;0.0;0.0;0.0;0.0;0.0;1.3362;2.2272;8.9793;9.3951;10.3017;18.7941;20.3379;15.7122;9.6513;4.6449;0.2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-6;0.0;0.0;0.0;0.0;0.0;0.0;0.1155;1.2048;2.2917;2.634;2.088;4.4874;1.7418;1.6482;1.9326;4.7796;0.2604;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-7;0.0;0.0;0.0;0.0;0.0;0.0;1.5609;3.4139999999999997;9.6246;11.1474;7.6944;3.0726;5.598;2.5194;3.7158;0.5874;0.1452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-8;0.0;0.0;0.0;0.0;0.0;0.0;0.7251;6.1167;4.4844;9.6045;7.9632;8.394;3.6108;2.0874;2.142;1.9554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-9;0.0;0.0;0.0;0.0;0.0;0.0;0.9993;6.7923;4.7226;6.6744;4.4604;7.776;3.645;3.0954;2.2614;3.2739;0.6252;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-10;0.0;0.0;0.0;0.0;0.0;0.0;2.1105;5.3781;5.9565;6.4266;4.7412;3.3480000000000003;1.8204;1.6344;0.9576;0.621;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-11;0.0;0.0;0.0;0.0;0.0;0.0;0.1164;4.215;1.1976;5.2734;2.1294;2.0274;2.3598;1.5030000000000001;1.7369999999999999;0.5826;0.5379;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-12;0.0;0.0;0.0;0.0;0.0;0.0;0.8946;1.2048;2.148;3.4866;2.4798;2.0358;1.8876;1.5102;1.2342;0.8358;0.2436;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-13;0.0;0.0;0.0;0.0;0.0;0.0;0.4758;1.6266;2.445;2.535;2.2812;2.3226;1.9296;1.5558;1.0128;0.7128;0.0852;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-14;0.0;0.0;0.0;0.0;0.0;0.0;4.1373;11.6775;18.4761;17.4801;15.1341;20.7381;20.9475;12.9921;5.43;2.6796;0.5634;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-15;0.0;0.0;0.0;0.0;0.0;0.0;0.825;3.06;3.6744;3.5634;2.1348;3.2886;2.0256;2.6214;1.7826;0.4776;0.2244;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-16;0.0;0.0;0.0;0.0;0.0;0.0;0.7308;4.3158;8.2206;14.442;21.7953;14.9715;8.3196;14.7729;13.2894;9.8145;2.7183;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-17;0.0;0.0;0.0;0.0;0.0;0.0;5.3607;13.5777;21.6741;27.654;30.4545;31.14;29.2344;25.3653;18.2388;10.6425;3.5085;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-18;0.0;0.0;0.0;0.0;0.0;0.0;5.6466;13.4949;19.5438;27.5943;31.6005;32.4381;30.3969;25.5315;16.944000000000003;10.6053;2.5308;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-19;0.0;0.0;0.0;0.0;0.0;0.0;0.2526;4.8306;16.4535;25.4955;29.6073;30.5025;29.4057;23.8419;16.968;10.4205;3.3549;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-20;0.0;0.0;0.0;0.0;0.0;0.0;2.2275;4.5846;8.4966;9.9564;4.7544;3.1608;2.8992;2.8518;1.7856;1.413;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-21;0.0;0.0;0.0;0.0;0.0;0.0;1.7424;5.8494;10.1385;11.397;12.4956;12.9711;3.708;3.0066;2.2692;2.859;1.3230000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-22;0.0;0.0;0.0;0.0;0.0;0.0;0.8118;5.4324;15.005999999999998;6.81;12.7347;4.3938;2.13;1.7466;1.6518;2.8644;3.0687;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-23;0.0;0.0;0.0;0.0;0.0;1.0899;3.8067;7.0152;14.6493;15.2451;20.4129;21.2637;27.3903;21.4731;18.387;11.3952;2.6991;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-24;0.0;0.0;0.0;0.0;0.0;0.0738;2.2743;6.4704;15.7425;27.3192;28.3221;24.6726;16.4364;11.5698;5.2632;4.4538;1.1094;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-25;0.0;0.0;0.0;0.0;0.0;1.113;2.259;7.9017;12.3684;24.9114;23.5086;12.3417;3.5952;4.3002;4.0452;4.4796;2.6189999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-26;0.0;0.0;0.0;0.0;0.0;0.0;0.3978;3.4476;4.343999999999999;3.9156;7.8498;5.112;2.6910000000000003;1.8246;1.2696;4.0368;1.2855;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-27;0.0;0.0;0.0;0.0;0.0;2.4171;9.4581;18.1275;25.8978;30.7074;33.4752;32.5521;31.4607;26.2821;20.5122;12.3261;5.1984;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-28;0.0;0.0;0.0;0.0;0.0;0.0093;2.5875;7.119;19.3716;23.5086;32.9658;34.1622;32.8935;27.7575;20.9298;13.2012;5.4144;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-29;0.0;0.0;0.0;0.0;0.0;2.4666;7.0623;18.6504;18.2646;23.7399;3.7332;30.6666;15.387;24.3381;21.5346;13.0077;4.9044;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-30;0.0;0.0;0.0;0.0;0.0;2.8143;8.0571;10.5951;22.4868;15.9867;15.8595;29.2908;9.6333;15.5664;5.7672;3.489;1.1019;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-3-31;0.0;0.0;0.0;0.0;0.0;0.2493;8.0001;7.5501;23.6028;28.4409;24.0879;27.3483;31.1109;27.5259;15.2235;12.5001;6.2553;0.0;0.0;0.0;0.0;0.0;0.0;0.0
